id,Jusitfication ,Category
1868,because traffic ahead is moving slowly.,Interaction with Other Road Users:Traffic:Moving forward:Slowly
171,to avoid a car driving quickly in the lane to its left.,Unclassified
392,because the car had moved into the road.,Unclassified
580,because traffic in front of it is stopped.,Traffic Conditions:Traffic Sign:Stop sign
1908,because a turning car has just moved out of the way and the lights ahead are green.,Traffic Conditions:Traffic Light:Green light
901,because there are no nearby cars in front of it.,Road Condition:Availability:Clear Road
36,The car is making a left hand turn through an intersection,Ego car driving intention: Vehicle lateral activity:Turning
1355,until the light turns green.,Traffic Conditions:Traffic Light:Green light
238,as it continues down the road,Ego car driving intention: Vehicle longitudinal activity:Driving forward
1876,The car is approaching an intersection controlled by a stop sign.,Traffic Conditions:Traffic Sign:Stop sign
271,because the street is clear.,Road Condition:Availability:Clear Road
537,because traffic is moving normally.,Interaction with Other Road Users:Lead vehicle:Moving forward:Normally
721,because the light has turned red.,Traffic Conditions:Traffic Light:Red light
1577,to pass traffic in the right lane.,Ego car driving intention: Vehicle longitudinal activity:Passing
811,since there's a red light ahead.,Traffic Conditions:Traffic Light:Red light
1056,since the light turned green.,Traffic Conditions:Traffic Light:Green light
919,because the car has merged and there is less congestion.,Ego car driving intention: Vehicle longitudinal activity:Merging
1633,since the light is green and the road is clear to turn.,Traffic Conditions:Traffic Light:Green light&Road Condition:Availability:Clear Road
1858,since the light is green and the road is clear to turn.,Traffic Conditions:Traffic Light:Green light&Road Condition:Availability:Clear Road
1858,The car has returned to the middle lane and is proceeding down the roadway,Ego car driving intention: Vehicle lateral activity:Turning
1233,since the red light doesn't allow for the car to go forward.,Traffic Conditions:Traffic Light:Red light
1749,since traffic on the road is moving slowly.,Interaction with Other Road Users:Traffic:Moving forward:Slowly
1519,because a car in front is parking,Interaction with Other Road Users:Lead vehicle:Park
266,because a car in front is parking,Interaction with Other Road Users:Lead vehicle:Park
266,because the lights are green,Traffic Conditions:Traffic Light:Green light
1351,to enter another road.,Ego car driving intention: Vehicle lateral activity:Enter another road
1950,as it approaches slow moving traffic in the lane ahead.,Interaction with Other Road Users:Traffic:Moving forward:Slowly
1515,as it drives through a parking lot.,Unclassified
1539,since there is a car to the left.,Unclassified
